time,baseline wattage reading
0.0,322.49336000011766
0.1,486.17036999999544
0.2,229.74421999984887
0.3,311.7833800000395
0.4,257.84330999991624
0.5,352.55307999992976
0.6,447.2763199997297
0.7,318.44447999992406
0.8,321.1256500001182
0.9,331.9881199998269
1.0,425.63629000017886
1.1,302.57687000002943
1.2,326.21284999991997
1.3,301.1953700000956
1.4,292.9741100000823
1.5,402.3860499999649
1.6,327.0982500002254
1.7,329.3115199999744
1.8,443.6576199998893
1.9,285.7262600000412
2.0,319.47771999978926
2.1,266.6662699998892
2.2,357.9269299997855
2.3,427.5502400000463
2.4,319.9275600002427
2.5,320.6716399999824
2.6,480.6192099999404
2.7,239.46714000007603
2.8,307.95801999998514
2.9,258.4452299998887
3.0,355.5754300001031
3.1,467.3366300001834
3.2,329.14409999971747
3.3,329.0590100001264
3.4,488.61643999987746
3.5,333.07469000029846
3.6,312.72909999981755
3.7,263.9359500001231
3.8,321.2705700001842
3.9,430.7324599998864
4.0,324.7256000001705
4.1,329.89918999997667
4.2,495.87384999980685
4.3,380.93221000019696
4.4,356.33351999979004
4.5,271.72810999999285
4.6,345.60688999997683
4.7,375.0175400001346
4.8,337.23854999967386
4.9,324.2914899997623
